eng,kor
"76","76"
"815","815"
"ASL 2.0","ASL 2.0"
"Alchemist","알케미스트"
"Allegro","알레그로"
"Alternative","얼터너티브"
"Andromeda","안드로메다"
"Another Day","어나더데이"
"Apocalypse","아포칼립스"
"Arcadia","아카디아"
"Arizona","아리조나"
"Arkanoid","알카노이드"
"Ascension","어센션"
"Ashrigo","아쉬리고"
"Aztec","아즈텍"
"Azure Garden","아재가든"
"Back Street","백 스트리트"
"Battle Royale","배틀로얄"
"Beltway","벨트웨이"
"Benzene","벤젠"
"Bifrost","비프로스트"
"Blitz X","블리츠X"
"Blitz Y","블리츠Y"
"Blockchain","블록체인"
"Blood Bath","블러드배스"
"Blue Storm","블루스톰"
"Butter","버터"
"Byzantium","비잔티움"
"Catalyst","카탈리스트"
"Champion","챔피언"
"Charity","채러티"
"Circuit Breaker","서킷브레이커"
"Citadel","시타델"
"Coldwind Ridge","칼바람능선"
"Colosseum","콜로세움"
"Crazy Critters","크레이지크리터스"
"Dante's Peak","단테스피크"
"Dark Origin","다크 오리진"
"Deja Vu","데자 뷰"
"Desperado","데스페라도"
"Destination","데스티네이션"
"Detonation","데토네이션"
"Dominator","도미네이터"
"Dreamliner","비상 드림라이너"
"Dreamscape","몽환"
"Eclipse","이클립스"
"Eddy","에디"
"Electric Circuit","일렉트릭서킷"
"Empire of the Sun","태양의제국"
"Enter the Dragon","엔터더드래곤"
"Escalade","에스컬레이드"
"Eye of the Storm","태풍의눈"
"FallOut","폴아웃"
"Fastest Infinite","빠른무한"
"Fighting Spirit","투혼"
"Flower of Snow","눈의 꽃"
"Forest of Evil Spirits","악령의 숲"
"Forte","포르테"
"Frost","프로스트"
"Gaema Gowon","개마고원"
"Geometry","지오메트리"
"Gladiator","글래디에이터"
"Good Night","굿나잇"
"Grand Line","그랜드라인"
"Ground Zero","그라운드제로"
"Hall of Valhalla","홀오브발할라"
"Heartbreak Ridge","단장의능선"
"Hellbound","헬바운드"
"Hellquines","헬퀴네스"
"Hidden Track","히든트랙"
"Hitchhiker","히치하이커"
"Holy World","홀리월드"
"Horizon Lunar Base","호라이즌달기지"
"Hunter","헌터"
"Hwarangdo","화랑도"
"Icarus","이카루스"
"Illusion","일루젼"
"Incubus","인큐버스"
"Infinite Map","무한맵"
"Inner Coven","이너코븐"
"Inner Sanctum","중원"
"Invader","인베이더"
"Iron Curtain","철의장막"
"Jade","제이드"
"Jim Raynor's Memory","짐레이너스메모리"
"Judgment Day","심판의날"
"Jungle Book","정글 북"
"Jungle Story 2","정글 스토리 2"
"Jungle Story","정글스토리"
"Katrina","카트리나"
"Kick Back","킥 백"
"La Campanella","라 캄파넬라"
"La Mancha","라만차"
"Largo","라르고"
"Lemon","레몬"
"Longinus","롱기누스"
"Lost Temple","로스트템플"
"Luna","루나"
"Man's Story","남자이야기"
"Match Point","매치포인트"
"Medusa","메두사"
"Mercury","머큐리"
"Metaverse","메타버스"
"Minstrel","민스트렐"
"Monkey Land","몽키랜드"
"Monopoly","모노폴리"
"Monte Cristo","몬테크리스토"
"Monty Hall","몬티홀"
"Multiverse","멀티버스"
"Nemesis","네메시스"
"Neo Arkanoid","네오 알카노이드"
"Neo Aztec","네오 아즈텍"
"Neo Beltway","네오 벨트웨이"
"Neo Chain Reaction","네오 체인 리액션"
"Neo Dark Origin","네오 다크 오리진"
"Neo Forbidden Zone","네오 포비든 존"
"Neo Forte","네오 포르테"
"Neo Guillotine","네오 기요틴"
"Neo Hall of Valhalla","네오 홀 오브 발할라"
"Neo Jungle Story","네오 정글 스토리"
"Neo Legacy of Char","네오 레가시오브차"
"Neo Lost Temple","네오 로스트템플"
"Neo Luna","네오 루나"
"Neo Medusa","네오 메두사"
"Neo Requiem","네오 레퀴엠"
"Neo Sylphid","네오 실피드"
"Neuron","뉴런"
"New Choopoongryung","신 추풍령"
"New Empire of the Sun","신 태양의 제국"
"New Sniper Ridge","신 저격능선"
"Non-Aggression Pact","불가침조약"
"Nostalgia","노스텔지아"
"Odyssey","오디세이"
"Optimizer","옵티마이저"
"Othello","오델로"
"Outsider","아웃사이더"
"Overwatch","오버워치"
"Palindrome","팔진도"
"Pantheon","판테온"
"Paradox","패러독스"
"Pathfinder","패스파인더"
"Peaks of Baekdu","백두대간"
"Pelennor","펠레노르"
"Persona","페르소나"
"Polaris Rhapsody","폴라리스랩소디"
"Polypoid","폴리포이드"
"Python","파이썬"
"R-Point","알포인트"
"Radeon","라데온"
"Ragnarok","라그나로크"
"Raid Assault","레이드 어썰트"
"Random Forest","랜덤 포레스트"
"Red Eagle","레드 이글"
"Requiem","레퀴엠"
"Retro","레트로"
"Return of the King","왕의귀환"
"Revolver","리볼버"
"Ride of Valkyries","라이드오브발키리"
"Ridge of Blood","피의능선"
"Ringing Bloom","링잉블룸"
"Rivers Temple","리버스템플"
"Rush Hour","러시아워"
"Salvation","구원"
"Sand Storm","샌드 스톰"
"Shakuras Temple","샤쿠러스템플"
"Shakuras Temple(2)","샤쿠라스템플"
"Shooting Break","슈팅브레이크"
"Sin Peaks of Baekdu","신 백두대간"
"Sky Bridge","스카이브릿지"
"Sniper Ridge","저격능선"
"Snowbound","스노우바운드"
"Space Madness","스페이스 매드니스"
"Space Odyssey","스페이스 오디세이"
"Sparkle","스파클"
"Sylphid","실피드"
"Tau Cross","타우크로스"
"Tears of the Goddess","여신의 눈물"
"Tempest","템페스트"
"The Blessing","더 블레싱"
"Third World","제 3세계"
"Transistor","트랜지스터"
"Triathlon","트라이애슬론"
"Troy","트로이"
"Ultimate Stream","얼티메이트스트림"
"Valley of Wind","바람의 계곡"
"Vermeer","버미어"
"Wavelet","Wavelet"
"White Horse Ridge","백마고지"
"Whiteout","화이트아웃"
"Winter Conquest","윈터 콘퀘스트"
"Winter Solstice","윈터 솔스티스"
